('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         1035302 function calls (1011084 primitive calls) in 1.833 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       51    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:271(_RandomNameSequence)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       10    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      218    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      260    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       31    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       64    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       54    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
    71/51    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
